Union_Name,Upazilla_Name,Union_code
CHANDRADWIP,BAUPHAL,178
DASPARA,BAUPHAL,212
DHULIA,BAUPHAL,221
KACHHIPARA,BAUPHAL,445
KALAIYA,BAUPHAL,454
KALISHURI,BAUPHAL,463
KANAKDIA,BAUPHAL,472
KESHABPUR,BAUPHAL,481
MADANPURA,BAUPHAL,516
NAOMALA,BAUPHAL,550
SURJAMUNI,BAUPHAL,717
ALIPUR,DASHMINA,109
BAHRAMPUR,DASHMINA,143
BANSHBARIA,DASHMINA,152
BETAGI SHANKIPUR,DASHMINA,161
DASHMINA,DASHMINA,212
RANGOPALDI,DASHMINA,675
ANGARIA,DUMKI,109
LEBUKHALI,DUMKI,473
MURADIA,DUMKI,507
PANGASHIA,DUMKI,607
SREERAMPUR,DUMKI,707
AMKHOLA,GALACHIPA,109
BAKULBARIA,GALACHIPA,143
CHAR BISHWAS,GALACHIPA,177
CHAR KAJAL,GALACHIPA,186
CHIKNIKANDI,GALACHIPA,195
DAKUA,GALACHIPA,213
GALACHIPA,GALACHIPA,313
GAZALIA,GALACHIPA,322
GOLKHALI,GALACHIPA,331
KALAGACHHIA,GALACHIPA,448
PANPATTI,GALACHIPA,614
RATANDI TALTALI,GALACHIPA,681
BALIATALI,KALAPARA,142
CHAKAMAIYA,KALAPARA,176
CHAMPAPUR,KALAPARA,185
DALBUGANJ,KALAPARA,211
DHANKHALI,KALAPARA,220
DHULASAR,KALAPARA,229
LALUA,KALAPARA,478
LATACHAPLI,KALAPARA,487
MAHIPUR,KALAPARA,513
MITHAGANJ,KALAPARA,522
NILGANJ,KALAPARA,548
TIAKHALI,KALAPARA,747
AMRAGACHHIA,MIRZAGANJ,109
DEULI SUBIDKHALI,MIRZAGANJ,209
KAKRABUNIA,MIRZAGANJ,441
MADHABKHALI,MIRZAGANJ,508
MAJIDBARIA,MIRZAGANJ,517
MIRZAGANJ,MIRZAGANJ,526
AULIAPUR,PATUAKHALI SADAR,109
BARA BIGHAI,PATUAKHALI SADAR,152
CHHOTA BIGHAI,PATUAKHALI SADAR,178
ITBARIA,PATUAKHALI SADAR,377
JAINKATHI,PATUAKHALI SADAR,411
KALIKAPUR,PATUAKHALI SADAR,445
KAMALAPUR,PATUAKHALI SADAR,454
LAUKATHI,PATUAKHALI SADAR,480
LOHALIA,PATUAKHALI SADAR,489
MADARBUNIA,PATUAKHALI SADAR,515
MARICHBUNIA,PATUAKHALI SADAR,524
BARA BAISHDIA,RANGABALI,142
CHALITABUNIA,RANGABALI,176
CHAR MONTAJ,RANGABALI,185
CHHOTA BAISHDIA,RANGABALI,194
RANGABALI,RANGABALI,674
BHANDARIA,BHANDARIA,142
BHITABARIA,BHANDARIA,151
DHAOA,BHANDARIA,210
GOURIPUR,BHANDARIA,310
IKRI,BHANDARIA,377
NADMULA SHIALKATHI,BHANDARIA,543
TELIKHALI,BHANDARIA,742
WORD NO. 01,BHANDARIA,001
WORD NO. 02,BHANDARIA,002
WORD NO. 03,BHANDARIA,003
WORD NO. 04,BHANDARIA,004
WORD NO. 05,BHANDARIA,005
WORD NO. 06,BHANDARIA,006
WORD NO. 07,BHANDARIA,007
WORD NO. 08,BHANDARIA,008
WORD NO. 09,BHANDARIA,009
AMRAJURI,KAWKHALI,109
CHIRAPARA PARSATURIA,KAWKHALI,176
KAUKHALI,KAWKHALI,441
SAYNA RAGHUNATHPUR,KAWKHALI,706
SHIALKATI,KAWKHALI,715
BARA MACHHUA,MATHBARIA,143
BETMORE  RAJPARA,MATHBARIA,152
DAUDKHALI,MATHBARIA,211
DHANISAFA,MATHBARIA,220
GULISHAKHALI,MATHBARIA,312
MATHBARIA,MATHBARIA,511
MIRUKHALI,MATHBARIA,520
SAPLEZA,MATHBARIA,711
TIKIKATA,MATHBARIA,745
TUSHKALI,MATHBARIA,754
DEULBARI DOBRA,NAZIRPUR,208
DIRGHA,NAZIRPUR,217
KALARDOANIA,NAZIRPUR,441
MALIKHALI,NAZIRPUR,508
MATIBHANGA,NAZIRPUR,517
SHANKHARIKATI,NAZIRPUR,709
SHEIKHMATIA,NAZIRPUR,718
SREERAMKATI,NAZIRPUR,727
DURGAPUR,PIROJPUR SADAR,208
KADAMTALA,PIROJPUR SADAR,440
KALAKHALI,PIROJPUR SADAR,449
SHANKARPASHA,PIROJPUR SADAR,706
SHARIKTALA DUMIRTALA,PIROJPUR SADAR,715
SHIKDAR MALLIK,PIROJPUR SADAR,724
TONA,PIROJPUR SADAR,742
ATGHAR KURIANA,NESARABAD (SWARUPKATHI),109
BALDIA,NESARABAD (SWARUPKATHI),143
DAIHARI,NESARABAD (SWARUPKATHI),210
GUAREKHA,NESARABAD (SWARUPKATHI),310
JALABARI,NESARABAD (SWARUPKATHI),410
NESARABAD (SWARUPKATI),NESARABAD (SWARUPKATHI),543
SAMUDAYKATHI,NESARABAD (SWARUPKATHI),709
SARENGKATHI,NESARABAD (SWARUPKATHI),718
SOHAGDAL,NESARABAD (SWARUPKATHI),727
SUTIAKATI,NESARABAD (SWARUPKATHI),736
BALIPARA,INDURKANI,142
PARERHAT,INDURKANI,605
PATTASHI,INDURKANI,614
ALIKADAM,ALIKADAM,109
CHAIKKHYONG,ALIKADAM,185
KURUKPATA,ALIKADAM,442
NAYAPARA,ALIKADAM,542
BANDARBAN,BANDARBAN SADAR,142
KUHALONG,BANDARBAN SADAR,440
RAJBILA,BANDARBAN SADAR,672
SUALAK,BANDARBAN SADAR,706
TANKABATI,BANDARBAN SADAR,740
AZIZNAGAR,LAMA,109
FAITANG,LAMA,275
FANSIAKHALI,LAMA,284
GAJALIA,LAMA,310
LAMA,LAMA,476
RUPASIPARA,LAMA,675
SARAI,LAMA,709
DOCHHARI,NAIKKHONGCHHARI,209
GHUMDHUM,NAIKKHONGCHHARI,309
NAIKKHYONGCHHARI,NAIKKHONGCHHARI,541
SONAICHHARI,NAIKKHONGCHHARI,706
ALEKKHYONG,ROWANGCHHARI,109
NOWAPATANG,ROWANGCHHARI,539
ROANGCHHARI,ROWANGCHHARI,672
TARACHHA,ROWANGCHHARI,739
GALENGYA,RUMA,307
PAINDU,RUMA,605
REMAKRIPRANGSA,RUMA,672
RUMA,RUMA,681
REMAKRI,THANCHI,671
THANCHI,THANCHI,738
TINDU,THANCHI,747
DAKKHIN AKHAURA,AKHAURA,208
DHARKHAR,AKHAURA,217
MANIAND,AKHAURA,507
MOGRA,AKHAURA,516
UTTAR AKHAURA,AKHAURA,773
AYUBPUR,BANCHHARAMPUR,109
BANCHHARAMPUR,BANCHHARAMPUR,143
CHHAYFULLAKANDI,BANCHHARAMPUR,177
DARIADAULAT,BANCHHARAMPUR,211
DARIKANDI,BANCHHARAMPUR,220
FARDABAD,BANCHHARAMPUR,279
MANIKPUR,BANCHHARAMPUR,511
PAHARIAKANDI,BANCHHARAMPUR,611
RUPASDI,BANCHHARAMPUR,678
SALIMABAD,BANCHHARAMPUR,712
SONARAMPUR,BANCHHARAMPUR,721
TEJKHALI,BANCHHARAMPUR,747
UJANCHAR,BANCHHARAMPUR,781
BISHNUPUR,BIJOYNAGAR,142
BUDHANTI,BIJOYNAGAR,151
CHAMPAKNAGAR,BIJOYNAGAR,177
CHANDURA,BIJOYNAGAR,186
CHAR ISLAMPUR,BIJOYNAGAR,195
DAKKHIN SINGARBIL,BIJOYNAGAR,213
HARASHPUR,BIJOYNAGAR,346
PAHARPUR,BIJOYNAGAR,611
PATTAN,BIJOYNAGAR,620
UTTAR ICHHAPUR,BIJOYNAGAR,778
BASUDEB,BRAHMANBARIA SADAR,142
BUDHAL,BRAHMANBARIA SADAR,151
DAKKHIN NATAI,BRAHMANBARIA SADAR,210
MACHHIHATA,BRAHMANBARIA SADAR,508
MAJLISHPUR,BRAHMANBARIA SADAR,517
PURBA TALSHAHAR,BRAHMANBARIA SADAR,609
RAMRAIL,BRAHMANBARIA SADAR,676
SADEKPUR,BRAHMANBARIA SADAR,710
SUHILPUR,BRAHMANBARIA SADAR,719
SULTANPUR,BRAHMANBARIA SADAR,728
UTTAR NATAI,BRAHMANBARIA SADAR,779
ARAISIDHA,ASHUGANJ,109
ASHUGANJ,ASHUGANJ,118
CHAR CHARTALA,ASHUGANJ,177
LALPUR,ASHUGANJ,476
SHARIFPUR,ASHUGANJ,708
TALSHAHAR PASHCHIM,ASHUGANJ,742
TARUA,ASHUGANJ,751
BADAIR,KASBA,142
BAYEK,KASBA,151
BINAUTI,KASBA,160
GOPINATHPUR,KASBA,310
KAIMPUR,KASBA,443
KASBA PASHCHIM,KASBA,452
KHARERA,KASBA,461
KUTI,KASBA,470
MEHARI,KASBA,513
MULGRAM,KASBA,522
BARAIL,NABINAGAR,142
BARIKANDI,NABINAGAR,151
BIDYAKOT,NABINAGAR,160
BIRGAON,NABINAGAR,169
BITGHAR,NABINAGAR,178
IBRAHIMPUR,NABINAGAR,378
JINADPUR,NABINAGAR,412
KAITALA DAKKHIN,NABINAGAR,446
KAITALA UTTAR,NABINAGAR,455
KRISHNANAGAR,NABINAGAR,464
LAUR FATEHPUR,NABINAGAR,482
NATGHAR,NABINAGAR,549
PASHCHIM NABINAGAR,NABINAGAR,616
PURBA NABINAGAR,NABINAGAR,625
RASULLABAD,NABINAGAR,684
RATANPUR,NABINAGAR,693
SALIMGANJ,NABINAGAR,719
SATMURA,NABINAGAR,728
SHYAMGRAM,NABINAGAR,746
SRIRAMPUR,NABINAGAR,755
BHALAKUT,NASIRNAGAR,142
BURISHWAR,NASIRNAGAR,151
CHAPARTALA,NASIRNAGAR,177
CHATALPAR,NASIRNAGAR,186
DHARMANDAL,NASIRNAGAR,212
FANDAUK,NASIRNAGAR,279
GOALNAGAR,NASIRNAGAR,313
GOKARNA,NASIRNAGAR,322
GUNIAUK,NASIRNAGAR,331
HARIPUR,NASIRNAGAR,349
KUNDA,NASIRNAGAR,449
NASIRNAGAR,NASIRNAGAR,549
PURBABHAG,NASIRNAGAR,616
ARUAIL,SARAIL,109
CHUNTA,SARAIL,176
KALIKACHCHHA,SARAIL,441
NOAGAON,SARAIL,541
PAKSHIMUL,SARAIL,608
PANISHWAR,SARAIL,617
SARAIL,SARAIL,709
SHAHBAJPUR,SARAIL,718
SHAHJADAPUR,SARAIL,727
ASHIKATI,CHANDPUR SADAR,109
BAGADI,CHANDPUR SADAR,143
BALIA,CHANDPUR SADAR,152
CHANDRA,CHANDPUR SADAR,179
HANARCHAR,CHANDPUR SADAR,345
KALYANPUR,CHANDPUR SADAR,446
LAKKHIPUR MODEL,CHANDPUR SADAR,480
MAISHADI,CHANDPUR SADAR,514
RAJRAJESHWAR,CHANDPUR SADAR,680
RAMPUR,CHANDPUR SADAR,689
SHAH MAHMUDPUR,CHANDPUR SADAR,715
TARPURCHANDI,CHANDPUR SADAR,749
DAKKHIN FARIDGANJ,FARIDGANJ,208
DAKKHIN GOBINDAPUR,FARIDGANJ,217
DAKKHIN PAIKPARA,FARIDGANJ,226
DAKKHIN RUPSA,FARIDGANJ,235
PASHCHIM BALITHUBA,FARIDGANJ,608
PASHCHIM CHAR DUKHIA,FARIDGANJ,617
PASHCHIM GUPTI,FARIDGANJ,626
PASHCHIM SUBIDPUR,FARIDGANJ,635
PURBA BALITHUBA,FARIDGANJ,644
PURBA CHAR DUKHIA,FARIDGANJ,653
PURBA GUPTI,FARIDGANJ,662
PURBA SUBIDPUR,FARIDGANJ,671
UTTAR GOBINDAPUR,FARIDGANJ,781
UTTAR PAIKPARA,FARIDGANJ,790
UTTAR RUPSA,FARIDGANJ,799
ALGI DURGAPUR DAKKHIN,HAIMCHAR,109
ALGIDURGAPUR UTTAR,HAIMCHAR,118
CHAR BHAIRABI,HAIMCHAR,177
GAZIPUR,HAIMCHAR,310
HAIMCHAR,HAIMCHAR,344
BAKILA,HAJIGANJ,142
BARKUL PASHCHIM,HAJIGANJ,151
BARKUL PURBA,HAJIGANJ,160
DWADASHGRAM,HAJIGANJ,211
GANDHARBAPUR DAKKHIN,HAJIGANJ,311
GANDHARBAPUR UTTAR,HAJIGANJ,320
HAJIGANJ,HAJIGANJ,346
HATILA PASHCHIM,HAJIGANJ,355
HATILA PURBA,HAJIGANJ,364
KALACHON DAKKHIN,HAJIGANJ,448
KALACHON UTTAR,HAJIGANJ,457
RAJARGAON UTTAR,HAJIGANJ,681
ASHRAFPUR,KACHUA,109
BITARA,KACHUA,143
DAKKHIN GOHAT,KACHUA,210
DAKKHIN KACHUA,KACHUA,219
KADLA,KACHUA,443
KARAIYA,KACHUA,452
PASHCHIM SAHADEBPUR,KACHUA,610
PATHAIR,KACHUA,619
PURBA SAHADEBPUR,KACHUA,628
SACHAR,KACHUA,712
UTTAR GOHAT,KACHUA,779
UTTAR KACHUA,KACHUA,788
DAKKHIN NAYERGAON,MATLAB DAKKHIN,208
DAKKHIN UPADI,MATLAB DAKKHIN,217
KHADERGAON,MATLAB DAKKHIN,441
NARAYANPUR,MATLAB DAKKHIN,541
UTTAR NAYERGAON,MATLAB DAKKHIN,773
UTTAR UPADI,MATLAB DAKKHIN,782
BAGANBARI,MATLAB UTTAR,142
EKLASPUR,MATLAB UTTAR,243
FARAJIKANDI,MATLAB UTTAR,277
GAJRA,MATLAB UTTAR,311
ISLAMABAD,MATLAB UTTAR,378
JAHIRABAD,MATLAB UTTAR,412
KALAKANDA,MATLAB UTTAR,446
MOHANPUR,MATLAB UTTAR,513
PASHCHIM FATEPUR,MATLAB UTTAR,613
PURBA FATEPUR,MATLAB UTTAR,622
SADULLAPUR,MATLAB UTTAR,714
SHATNAL,MATLAB UTTAR,723
SULTANABAD,MATLAB UTTAR,732
CHITOSHI PASHCHIM,SHAHRASTI,175
CHITOSHI PURBA,SHAHRASTI,184
MEHER DAKKHIN,SHAHRASTI,507
MEHER UTTAR,SHAHRASTI,516
RAYSREE DAKKHIN,SHAHRASTI,674
RAYSREE UTTAR,SHAHRASTI,683
SUCHIPARA DAKKHIN,SHAHRASTI,709
SUCHIPARA UTTAR,SHAHRASTI,718
TAMTA DAKKHIN,SHAHRASTI,744
TAMTA UTTAR,SHAHRASTI,753
ANWARA,ANWARA,109
BAIRAG,ANWARA,143
BARAKHAIN,ANWARA,152
BARASHAT,ANWARA,161
BARUMCHARA,ANWARA,170
BATTALI,ANWARA,179
CHATARI,ANWARA,181
HAILDHAR,ANWARA,347
JUIDANDI,ANWARA,414
PARAIKORA,ANWARA,613
RAYPUR,ANWARA,680
BAHARCHHARA,BANSHKHALI,142
BAILCHHARI,BANSHKHALI,151
CHAMBAL,BANSHKHALI,177
CHHANUA,BANSHKHALI,186
GANDAMARA,BANSHKHALI,311
KALIPUR,BANSHKHALI,444
KATHARIA,BANSHKHALI,453
KHANKHANABAD,BANSHKHALI,462
PUICHHARI,BANSHKHALI,612
PUKURIA,BANSHKHALI,621
SADHANPUR,BANSHKHALI,713
SARAL,BANSHKHALI,722
SEKHERKHIL,BANSHKHALI,731
SHILKUP,BANSHKHALI,740
WARD NO 09,BANSHKHALI,009
AHALLA KARALDENGA,BOALKHALI,109
AMUCHIA,BOALKHALI,118
CHARANDWIP,BOALKHALI,177
KADHURKHIL,BOALKHALI,442
PASHCHIM GOMDANDI,BOALKHALI,608
POPADIA,BOALKHALI,617
SAROATALI,BOALKHALI,709
SHAKPURA,BOALKHALI,718
SREEPUR KHARANDWIP,BOALKHALI,727
BAILTALI,CHANDANAISH,142
BARAMA,CHANDANAISH,151
BARKAL,CHANDANAISH,160
DHOPACHHARI,CHANDANAISH,211
DOHAZARI,CHANDANAISH,220
HASHIMPUR,CHANDANAISH,345
JOARA,CHANDANAISH,412
KANCHANABAD,CHANDANAISH,446
SATBARIA,CHANDANAISH,711
BAGAN BAZAR,FATIKCHHARI,143
BAKTAPUR,FATIKCHHARI,152
BHUJPUR,FATIKCHHARI,161
DANTMARA,FATIKCHHARI,212
DHARMAPUR,FATIKCHHARI,230
HARUALCHHARI,FATIKCHHARI,347
JAFATNAGAR,FATIKCHHARI,414
KANCHANNAGAR,FATIKCHHARI,448
KHIRAM,FATIKCHHARI,457
LELANG,FATIKCHHARI,483
NANUPUR,FATIKCHHARI,550
NARAYANHAT,FATIKCHHARI,559
PAINDANG,FATIKCHHARI,618
ROSANGGIRI,FATIKCHHARI,685
SAMITIRHAT,FATIKCHHARI,719
SUABIL,FATIKCHHARI,728
SUNDARPUR,FATIKCHHARI,737
BURISHCHAR,HATHAZARI,142
CHHIPATALI,HATHAZARI,176
CHIKANDANDI,HATHAZARI,185
DAKKHIN MADARSHA,HATHAZARI,211
DHALAI,HATHAZARI,220
FARHADABAD,HATHAZARI,279
FATEPUR,HATHAZARI,288
GARDUARA,HATHAZARI,314
GUMANMARDAN,HATHAZARI,323
HATHAZARI,HATHAZARI,349
MEKHAL,HATHAZARI,515
MIRZAPUR,HATHAZARI,524
NANGALMORA,HATHAZARI,550
UTTAR MADARSHA,HATHAZARI,783
BARA UTHAN,KARNAPHULI,142
CHAR LAKKHYA,KARNAPHULI,177
CHAR PATHARGHATA,KARNAPHULI,186
